Id,Pres ID,time,title,presenter
266,1439201,1:00 PM - 1:35 PM,"Introduction and Principles of Diagnosis Excellence & Diagnostic StewardshipWorkshop Speaker:  Daniel J. Morgan, MD, MS – University of Maryland School of Medicine","Workshop Speaker:  Daniel J. Morgan, MD, MS – University of Maryland School of Medicine"
266,1436678,1:35 PM - 2:00 PM,"What Clinicians Should Know About the Lab and What Laboratory Professionals Should Know About Diagnostic StewardshipWorkshop Speaker:  Kaede Ota Sullivan, MD, MBA, FRCPC, FAAP, D(ABMM) – Lewis Katz School of Medicine at Temple University","Workshop Speaker:  Kaede Ota Sullivan, MD, MBA, FRCPC, FAAP, D(ABMM) – Lewis Katz School of Medicine at Temple University"
266,1436679,2:00 PM - 2:40 PM,"Interactive Panel: Moderated by Mary HaydenWorkshop Moderator:  Mary K. Hayden, MD – Rush University Medical CenterWorkshop Speaker:  T. Neil Ku, MD (he/him/his) – Billings ClinicWorkshop Speaker:  Bradley J. Langford, PharmD BCIDP MPH (he/him/his) – Public Health OntarioWorkshop Speaker:  Priya Sampathkumar, MD – Mayo Clinic","Workshop Moderator:  Mary K. Hayden, MD – Rush University Medical CenterWorkshop Speaker:  T. Neil Ku, MD (he/him/his) – Billings ClinicWorkshop Speaker:  Bradley J. Langford, PharmD BCIDP MPH (he/him/his) – Public Health OntarioWorkshop Speaker:  Priya Sampathkumar, MD – Mayo Clinic"
266,1436680,2:55 PM - 3:20 PM,"Common First Targets for Diagnostic StewardshipWorkshop Speaker:  Valerie Vaughn, MD, MSc – University of Utah Medical School","Workshop Speaker:  Valerie Vaughn, MD, MSc – University of Utah Medical School"
266,1436683,3:20 PM - 3:45 PM,"Stewarding Advanced Diagnostics: Multiplex Panels, Metagenomics and BeyondWorkshop Speaker:  Kevin Messacar, MD, PHD – University of Colorado","Workshop Speaker:  Kevin Messacar, MD, PHD – University of Colorado"
266,1436684,3:45 PM - 4:10 PM,"Core Elements for Diagnostic ExcellenceWorkshop Speaker:  Arjun Srinivasan, MD – Centers for Disease Control and Prevention","Workshop Speaker:  Arjun Srinivasan, MD – Centers for Disease Control and Prevention"
266,1436685,4:10 PM - 4:50 PM,"Interactive Panel: Moderated by Dan DiekemaWorkshop Moderator:  Daniel Diekema, MD, MS, D(ABMM) (he/him/his) – MaineHealthWorkshop Speaker:  T. Neil Ku, MD (he/him/his) – Billings ClinicWorkshop Speaker:  Bradley J. Langford, PharmD BCIDP MPH (he/him/his) – Public Health OntarioWorkshop Speaker:  Priya Sampathkumar, MD – Mayo Clinic","Workshop Moderator:  Daniel Diekema, MD, MS, D(ABMM) (he/him/his) – MaineHealthWorkshop Speaker:  T. Neil Ku, MD (he/him/his) – Billings ClinicWorkshop Speaker:  Bradley J. Langford, PharmD BCIDP MPH (he/him/his) – Public Health OntarioWorkshop Speaker:  Priya Sampathkumar, MD – Mayo Clinic"
268,1408110,8:00 AM - 8:10 AM,Introductory Remarks,N/A
268,1408109,8:10 AM - 8:45 AM,"Sexually Transmitted InfectionsWorkshop Speaker:  Archana K. Reddy, MD (she/her/hers) – University of California, Davis Health","Workshop Speaker:  Archana K. Reddy, MD (she/her/hers) – University of California, Davis Health"
268,1408108,8:45 AM - 9:20 AM,"Mycobacteria Including TBWorkshop Speaker:  Lisa Armitige, MD, PhD – Heartland National TB Center/ University of Texas Health Science Center at Tyler","Workshop Speaker:  Lisa Armitige, MD, PhD – Heartland National TB Center/ University of Texas Health Science Center at Tyler"
268,1407338,9:20 AM - 9:55 AM,"Fungal InfectionsWorkshop Speaker:  Thomas F. Patterson, MD (he/him/his) – University of Texas Health San Antonio","Workshop Speaker:  Thomas F. Patterson, MD (he/him/his) – University of Texas Health San Antonio"
268,1408107,10:10 AM - 10:45 AM,"ID Therapeutics: A Broad OverviewWorkshop Speaker:  Rachael A. Lee, MD, MSPH – University of Alabama at Birmingham","Workshop Speaker:  Rachael A. Lee, MD, MSPH – University of Alabama at Birmingham"
268,1408106,10:45 AM - 11:20 AM,"Bacterial Syndrome PearlsWorkshop Speaker:  Gerome Escota, MD – Park Nicollet Specialty Center","Workshop Speaker:  Gerome Escota, MD – Park Nicollet Specialty Center"
268,1408103,11:20 AM - 11:45 AM,"Infection Prevention UpdateWorkshop Speaker:  Catherine S. O'Neal, MD (she/her/hers) – Louisiana State University Health Baton Rouge","Workshop Speaker:  Catherine S. O'Neal, MD (she/her/hers) – Louisiana State University Health Baton Rouge"
268,1408114,1:00 PM - 1:35 PM,"ID Mimics: Noninfectious Causes of Elevated TemperatureWorkshop Speaker:  Barbara S. Taylor, MD, MS (she/her/hers) – University of Texas Health Science Center San Antonio","Workshop Speaker:  Barbara S. Taylor, MD, MS (she/her/hers) – University of Texas Health Science Center San Antonio"
268,1408104,1:35 PM - 2:10 PM,"Brain Teasers:  Nervous System Infections and MimicsWorkshop Speaker:  Karen C. Bloch, MD, MPH (she/her/hers) – Vanderbilt University Medical Center","Workshop Speaker:  Karen C. Bloch, MD, MPH (she/her/hers) – Vanderbilt University Medical Center"
268,1408105,2:10 PM - 2:45 PM,"Transplant InfectionsWorkshop Speaker:  Jessica Lum, MD – Cleveland Clinic Foundation","Workshop Speaker:  Jessica Lum, MD – Cleveland Clinic Foundation"
268,1408100,3:00 PM - 3:35 PM,"HIVWorkshop Speaker:  Roy Gulick, MD, MPH (he/him/his) – Weill Cornell Medicine","Workshop Speaker:  Roy Gulick, MD, MPH (he/him/his) – Weill Cornell Medicine"
268,1408102,3:35 PM - 4:10 PM,"Parasitic DiseasesWorkshop Speaker:  Philip Budge, MD, PhD (he/him/his) – Washington University St. Louis","Workshop Speaker:  Philip Budge, MD, PhD (he/him/his) – Washington University St. Louis"
268,1408099,4:10 PM - 4:45 PM,"Viral DiseasesWorkshop Speaker:  Cody A. Chastain, MD, FACP, FIDSA (he/him/his) – Vanderbilt University Medical Center","Workshop Speaker:  Cody A. Chastain, MD, FACP, FIDSA (he/him/his) – Vanderbilt University Medical Center"
268,1407340,4:45 PM - 5:20 PM,"Vector-Borne InfectionsWorkshop Speaker:  Christopher Ohl, MD – Wake Forest University School of Medicine","Workshop Speaker:  Christopher Ohl, MD – Wake Forest University School of Medicine"
268,1408101,5:20 PM - 5:30 PM,Closing Remarks and Questions,N/A
269,1484888,8:00 AM - 8:10 AM,"Introduction and Workshop OverviewWorkshop Moderator:  Chloe Bryson-Cahn, MD (she/her/hers) – University of Washington School of Medicine","Workshop Moderator:  Chloe Bryson-Cahn, MD (she/her/hers) – University of Washington School of Medicine"
269,1424116,8:10 AM - 9:00 AM,"Stewarding Bone and Joint InfectionsWorkshop Speaker:  Laura Certain, MD, PhD (she/her/hers) – University of Utah","Workshop Speaker:  Laura Certain, MD, PhD (she/her/hers) – University of Utah"
269,1424118,9:05 AM - 10:00 AM,"Tele-Antimicrobial Stewardship PanelWorkshop Speaker:  Zahra Kassamali-Escobar, PharmD – University of Washington Center for Stewardship in Medicine / Fred Hutchinson Cancer CenterWorkshop Speaker:  Jeannette Bouchard, PharmD (she/her/hers) – Duke Antimicrobial Stewardship Outreach NetworkWorkshop Speaker:  Emily A. Thorell, MD, MSCI – University of Utah","Workshop Speaker:  Zahra Kassamali-Escobar, PharmD – University of Washington Center for Stewardship in Medicine / Fred Hutchinson Cancer CenterWorkshop Speaker:  Jeannette Bouchard, PharmD (she/her/hers) – Duke Antimicrobial Stewardship Outreach NetworkWorkshop Speaker:  Emily A. Thorell, MD, MSCI – University of Utah"
269,1424119,10:05 AM - 10:25 AM,"How to Disagree Better Using Advocacy-Inquiry to Improve Communication With CliniciansWorkshop Speaker:  Alyssa Y. Castillo, MD (she/her/hers) – University of Colorado Hospital","Workshop Speaker:  Alyssa Y. Castillo, MD (she/her/hers) – University of Colorado Hospital"
